toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,cdpp,pl_perturbed
5165.01,349986198,PC,10h17m00.04s,154.250153,+06d51m59.32s,6.866478,-63.855,0.047,-0.047,0.0,4.976,0.05,-0.05,0.0,2459546.601483,0.092904,-0.092904,0,3.577501,0.000206,-0.000206,0,1.662,0.276,-0.276,0,1300.0,1.53004,-1.53004,0,3.3001,0.246493,-0.246493,0,95.4633,,,,870.0,,,,12.5389,0.007,-0.007,0,245.302,2.09,-2.09,0,4642.1,107.9,-107.9,0,4.43,0.09,-0.09,0,0.87,0.06,-0.06,0,2022-02-08 22:12:15,2025-02-24 12:03:31,3143.9821343664307 ppm,3.3553159087054336
512.01,119292328,CP,06h26m35.21s,96.646702,-38d36m25.96s,-38.60721,3.004,0.042,-0.042,0.0,-109.019,0.044,-0.044,0.0,2458471.218204,0.002119,-0.002119,0,7.1887332,4.51e-05,-4.51e-05,0,2.9505752,0.4082451,-0.4082451,0,285.257999,24.15356,-24.15356,0,1.5254582,1.1745087,-1.1745087,0,112.4619017,,,,830.5601795,,,,8.9767,0.006,-0.006,0,67.3975,0.11655,-0.11655,0,5581.0,187.0,-187.0,0,4.52166,0.26533,-0.26533,0,0.882675,0.048995,-0.048995,0,2019-03-18 17:05:03,2025-02-21 12:03:22,159.6921407081802 ppm,2.327569938541757
6965.02,80224448,PC,06h54m42.79s,103.678273,+24d14m42.51s,24.245141,-35.915,0.083,-0.083,0.0,-96.881,0.074,-0.074,0.0,2459508.008646,0.00558,-0.00558,0,28.0693949,0.0002985,-0.0002985,0,6.0393818,0.4346733,-0.4346733,0,154.3008171,17.499662,-17.499662,0,1.6221344,0.1802472,-0.1802472,0,42.4755605,,,,651.1102456,,,,6.3103,0.006,-0.006,0,31.1664,0.0555,-0.0555,0,6007.0,103.951,-103.951,0,4.37729,0.0722744,-0.0722744,0,1.12993,0.0445402,-0.0445402,0,2024-04-03 22:41:11,2025-02-14 12:03:07,74.31707461247066 ppm,1.4966894595911109
6981.01,443823169,PC,08h04m14.39s,121.059967,+11d16m00.97s,11.266937,-166.176,0.129,-0.129,0.0,-39.133,0.084,-0.084,0.0,2458525.814399,0.012075,-0.012075,0,425.4506963,0.000581,-0.000581,0,2.9472616,0.4688739,-0.4688739,0,4753.2829943,396.22385,-396.22385,0,2.0762333,0.4440041,-0.4440041,0,0.2314879,,,,176.9097782,,,,11.6627,0.007,-0.007,0,25.4675,0.04785,-0.04785,0,3261.0,157.0,-157.0,0,4.92925,0.0061519,-0.0061519,0,0.296806,0.008881,-0.008881,0,2024-05-30 23:28:24,2025-02-14 12:03:07,626.3616731792857 ppm,2.3537254703021224
7043.01,57299130,PC,16h47m13.48s,251.80616,+37d53m09.45s,37.885957,-87.805,0.036,-0.036,0.0,127.575,0.048,-0.048,0.0,2460463.610974,0.004667,-0.004667,0,17.3840061,0.0001712,-0.0001712,0,3.932,0.64,-0.64,0,561.0,33.5326,-33.5326,0,1.69425,0.116438,-0.116438,0,29.5344,,,,649.0,,,,9.094,0.006,-0.006,0,64.2031,0.0912,-0.0912,0,5228.2,106.5,-106.5,0,4.56,0.08,-0.08,0,0.82,0.04,-0.04,0,2024-08-28 20:47:11,2025-02-14 12:03:07,125.90383005425754 ppm,1.7147416691891277
7170.01,63100069,PC,07h51m53.95s,117.974778,+21d20m23.83s,21.339953,21.523,0.059,-0.059,0.0,-44.617,0.03,-0.03,0.0,2460234.779918,0.001841,-0.001841,0,1.917096,0.0001166,-0.0001166,0,1.0402081,0.2368876,-0.2368876,0,4017.0792074,311.28613,-311.28613,0,3.5741192,0.7136009,-0.7136009,0,73.898565,,,,747.7884464,,,,12.8317,0.007,-0.007,0,106.54,0.386,-0.386,0,3653.0,157.0,-157.0,0,4.71723,0.0088703,-0.0088703,0,0.523126,0.0155389,-0.0155389,0,2024-12-13 00:24:49,2025-02-13 12:03:25,1922.8845926553756 ppm,4.198253640550209
6940.01,421006834,PC,07h27m28.97s,111.870696,+11d27m58.61s,11.466281,-81.454,0.127,-0.127,0.0,-28.691,0.101,-0.101,0.0,2460285.534539,0.001523,-0.001523,0,0.3052608,5e-07,-5e-07,0,0.309,0.164,-0.164,0,1620.0,900.503,-900.503,0,2.03448,0.377961,-0.377961,0,196.562,,,,1043.0,,,,12.5437,0.007,-0.007,0,51.7699,0.18475,-0.18475,0,3338.0,157.0,-157.0,0,4.85,,,0,0.37,0.01,-0.01,0,2024-02-29 23:27:38,2025-02-02 12:03:02,1419.949041956558 ppm,2.164840856803326
6944.01,421005422,PC,07h27m42.73s,111.928044,+09d58m10.38s,9.96955,-37.003,0.061,-0.061,0.0,-5.961,0.047,-0.047,0.0,2460271.568328,0.00439,-0.00439,0,12.3027503,4.69e-05,-4.69e-05,0,3.596,0.613,-0.613,0,1304.0,97.6274,-97.6274,0,2.60986,0.21456,-0.21456,0,46.2908,,,,726.0,,,,10.7077,0.006,-0.006,0,121.757,0.51,-0.51,0,5181.1,136.9,-136.9,0,4.62,0.09,-0.09,0,0.76,0.05,-0.05,0,2024-02-29 23:27:39,2025-02-02 12:03:02,343.289105839217 ppm,2.7195284802749886
6985.01,59490344,PC,07h15m58.52s,108.993831,+18d41m29.97s,18.691658,14.079,0.064,-0.064,0.0,-99.304,0.053,-0.053,0.0,2459509.801369,0.001585,-0.001585,0,748.7146251,0.0021974,-0.0021974,0,6.6689152,0.1820333,-0.1820333,0,1655.3509066,106.101555,-106.101555,0,3.4308988,0.3645647,-0.3645647,0,0.1991332,,,,170.3749226,,,,8.3323,0.006,-0.006,0,46.2206,0.07965,-0.07965,0,5235.0,132.381,-132.381,0,4.5339,0.0869336,-0.0869336,0,0.844852,0.0504322,-0.0504322,0,2024-05-30 23:28:45,2025-02-02 12:03:02,159.45190699810973 ppm,3.349161514495913
5789.01,87216634,PC,20h11m05.63s,302.773447,+16d11m22.97s,16.189714,-414.664,0.261,-0.261,0.0,398.48,0.286,-0.286,0.0,2459776.255982,0.0018,-0.0018,0,12.9256051,0.0023249,-0.0023249,0,1.691,0.136,-0.136,0,790.0,0.544021,-0.544021,0,2.53704,0.14658,-0.14658,0,8.71939,,,,478.0,,,,6.5715,0.006,-0.006,0,20.4581,0.03785,-0.03785,0,5132.0,104.0,-104.0,0,4.49,0.08,-0.08,0,0.88,0.04,-0.04,0,2022-09-22 22:56:08,2025-01-29 12:03:23,68.49362156645407 ppm,2.634532226613201
7033.01,29953537,PC,08h54m34.02s,133.641742,-45d29m01.78s,-45.483829,8.604,0.055,-0.055,0.0,-152.628,0.05,-0.05,0.0,2460013.337525,0.002946,-0.002946,0,0.7312783,2.1e-06,-2.1e-06,0,1.289,0.286,-0.286,0,322.0,28.9896,-28.9896,0,1.7324,0.132642,-0.132642,0,2334.8,,,,1936.0,,,,10.2097,0.006,-0.006,0,137.386,0.567,-0.567,0,5508.0,133.5,-133.5,0,4.45,0.08,-0.08,0,0.97,0.05,-0.05,0,2024-08-14 18:27:28,2025-01-25 12:03:24,520.1454212494809 ppm,1.6100410729021215
5319.01,246965431,CP,02h20m51.25s,35.213556,+23d31m13.59s,23.520441,41.969,0.122,-0.122,0.0,-86.743,0.084,-0.084,0.0,2459884.041681,0.003152,-0.003152,0,4.0785273,1.7e-05,-1.7e-05,0,1.561,0.553,-0.553,0,4530.0,40.2943,-40.2943,0,3.74681,0.617629,-0.617629,0,38.7885,,,,695.0,,,,12.0828,0.006,-0.006,0,61.171,0.2085,-0.2085,0,3580.0,124.3,-124.3,0,4.77,0.18,-0.18,0,0.48,0.07,-0.07,0,2022-02-28 23:27:40,2025-01-24 12:04:09,879.3164720406457 ppm,3.506951274064913
